"outcome","id","role","nsnp","method","b","se","pval","steiger_dir","steiger_p","overlap"
"Transferrin saturation","ieu-a-1051","positive control",8,"Inverse variance weighted",-0.481,0.1386,0.0005182,"exposure->outcome",9.59e-20,"SHARES Benyamin 2014 cohort with the transferrin exposure"
"Transferrin saturation","ieu-a-1051","positive control",8,"Weighted median",-0.2378,0.03025,3.733e-15,"exposure->outcome",9.59e-20,"SHARES Benyamin 2014 cohort with the transferrin exposure"
"Transferrin saturation","ieu-a-1051","positive control",8,"MR Egger",-0.5242,0.2059,0.04372,"exposure->outcome",9.59e-20,"SHARES Benyamin 2014 cohort with the transferrin exposure"
"Transferrin saturation","ieu-a-1051","positive control",8,"Weighted mode",-0.2319,0.02634,4.918e-05,"exposure->outcome",9.59e-20,"SHARES Benyamin 2014 cohort with the transferrin exposure"
"Height","ieu-a-89","negative control",8,"Inverse variance weighted",-0.0196,0.01911,0.3051,"exposure->outcome",0,"independent (GIANT)"
"Height","ieu-a-89","negative control",8,"Weighted median",0.003034,0.009056,0.7376,"exposure->outcome",0,"independent (GIANT)"
"Height","ieu-a-89","negative control",8,"MR Egger",-0.002136,0.02677,0.939,"exposure->outcome",0,"independent (GIANT)"
"Height","ieu-a-89","negative control",8,"Weighted mode",-0.003946,0.007843,0.6303,"exposure->outcome",0,"independent (GIANT)"
"Educational attainment","ieu-a-1239","negative control",7,"Inverse variance weighted",-0.004062,0.003326,0.2219,"exposure->outcome",0,"independent (SSGAC)"
"Educational attainment","ieu-a-1239","negative control",7,"Weighted median",-0.008108,0.004069,0.04631,"exposure->outcome",0,"independent (SSGAC)"
"Educational attainment","ieu-a-1239","negative control",7,"MR Egger",-0.003796,0.004869,0.4709,"exposure->outcome",0,"independent (SSGAC)"
"Educational attainment","ieu-a-1239","negative control",7,"Weighted mode",-0.007923,0.004355,0.1188,"exposure->outcome",0,"independent (SSGAC)"
"Serum iron","ieu-a-1049","DAG / mediator check",8,"Inverse variance weighted",-0.09147,0.1436,0.5242,"exposure->outcome",4.73e-63,"SHARES Benyamin 2014 cohort with the transferrin exposure"
"Serum iron","ieu-a-1049","DAG / mediator check",8,"Weighted median",0.1594,0.03381,2.408e-06,"exposure->outcome",4.73e-63,"SHARES Benyamin 2014 cohort with the transferrin exposure"
"Serum iron","ieu-a-1049","DAG / mediator check",8,"MR Egger",-0.1325,0.2137,0.5582,"exposure->outcome",4.73e-63,"SHARES Benyamin 2014 cohort with the transferrin exposure"
"Serum iron","ieu-a-1049","DAG / mediator check",8,"Weighted mode",0.1676,0.02273,0.0001529,"exposure->outcome",4.73e-63,"SHARES Benyamin 2014 cohort with the transferrin exposure"
