"analysis","n_snps","snps","beta","se","pval","method","script","date_run"
"all_8",8,"rs1495741;rs174577;rs1800562;rs744653;rs7646473;rs8177240;rs9268633;rs9990333",-0.03927,0.01318,0.00288,"IVW fixed-effect","R2_PART1_reconciliation.R","2026-08-07"
"all_8",8,"rs1495741;rs174577;rs1800562;rs744653;rs7646473;rs8177240;rs9268633;rs9990333",-0.03927,0.01318,0.00288,"IVW random-effect","R2_PART1_reconciliation.R","2026-08-07"
"excl_rs8177240",7,"rs1495741;rs174577;rs1800562;rs744653;rs7646473;rs9268633;rs9990333",-0.02005,0.02182,0.3582,"IVW fixed-effect","R2_PART1_reconciliation.R","2026-08-07"
"excl_rs8177240",7,"rs1495741;rs174577;rs1800562;rs744653;rs7646473;rs9268633;rs9990333",-0.02005,0.02182,0.3582,"IVW random-effect","R2_PART1_reconciliation.R","2026-08-07"
"excl_HLA",7,"rs1495741;rs174577;rs1800562;rs744653;rs7646473;rs8177240;rs9990333",-0.03924,0.01324,0.003035,"IVW fixed-effect","R2_PART1_reconciliation.R","2026-08-07"
"excl_HLA",7,"rs1495741;rs174577;rs1800562;rs744653;rs7646473;rs8177240;rs9990333",-0.03924,0.01324,0.003035,"IVW random-effect","R2_PART1_reconciliation.R","2026-08-07"
"excl_FADS",7,"rs1495741;rs1800562;rs744653;rs7646473;rs8177240;rs9268633;rs9990333",-0.03979,0.01329,0.002752,"IVW fixed-effect","R2_PART1_reconciliation.R","2026-08-07"
"excl_FADS",7,"rs1495741;rs1800562;rs744653;rs7646473;rs8177240;rs9268633;rs9990333",-0.03979,0.01329,0.002752,"IVW random-effect","R2_PART1_reconciliation.R","2026-08-07"
"excl_HFE",7,"rs1495741;rs174577;rs744653;rs7646473;rs8177240;rs9268633;rs9990333",-0.04191,0.01544,0.006642,"IVW fixed-effect","R2_PART1_reconciliation.R","2026-08-07"
"excl_HFE",7,"rs1495741;rs174577;rs744653;rs7646473;rs8177240;rs9268633;rs9990333",-0.04191,0.01544,0.006642,"IVW random-effect","R2_PART1_reconciliation.R","2026-08-07"
"excl_NAT2",7,"rs174577;rs1800562;rs744653;rs7646473;rs8177240;rs9268633;rs9990333",-0.03928,0.01331,0.003159,"IVW fixed-effect","R2_PART1_reconciliation.R","2026-08-07"
"excl_NAT2",7,"rs174577;rs1800562;rs744653;rs7646473;rs8177240;rs9268633;rs9990333",-0.03928,0.01331,0.003159,"IVW random-effect","R2_PART1_reconciliation.R","2026-08-07"
"excl_HLA_FADS",6,"rs1495741;rs1800562;rs744653;rs7646473;rs8177240;rs9990333",-0.03975,0.01335,0.0029,"IVW fixed-effect","R2_PART1_reconciliation.R","2026-08-07"
"excl_HLA_FADS",6,"rs1495741;rs1800562;rs744653;rs7646473;rs8177240;rs9990333",-0.03975,0.01447,0.006003,"IVW random-effect","R2_PART1_reconciliation.R","2026-08-07"
"excl_HLA_FADS_HFE_NAT2 (joint)",4,"rs744653;rs7646473;rs8177240;rs9990333",-0.04278,0.01594,0.007271,"IVW fixed-effect","R2_PART1_reconciliation.R","2026-08-07"
"excl_HLA_FADS_HFE_NAT2 (joint)",4,"rs744653;rs7646473;rs8177240;rs9990333",-0.04278,0.02206,0.0525,"IVW random-effect","R2_PART1_reconciliation.R","2026-08-07"
"TF_region_subset_3snps",3,"rs7646473;rs8177240;rs9990333",-0.04395,0.01613,0.006453,"IVW fixed-effect","R2_PART1_reconciliation.R","2026-08-07"
"TF_region_subset_3snps",3,"rs7646473;rs8177240;rs9990333",-0.04395,0.02683,0.1015,"IVW random-effect","R2_PART1_reconciliation.R","2026-08-07"
"rs8177240_alone (Wald)",1,"rs8177240",-0.05031,0.01653,0.002343,"Wald ratio","R2_PART1_reconciliation.R","2026-08-07"
"cis_TF_denovo_2snps (Fig S9)",2,"rs17376530;rs3811658",-0.06039,0.01705,0.0003989,"IVW fixed-effect (de novo cis extraction, +/-500kb, r2<0.001)","R1_C_cis_TF_MR.R","2026-08-07"
"cis_rs17376530_alone (Wald)",1,"rs17376530",-0.08559,0.05263,0.1039,"Wald ratio (F=130)","R1_C_cis_TF_MR.R","2026-08-07"
"cis_rs3811658_alone (Wald)",1,"rs3811658",-0.05743,0.01803,0.001444,"Wald ratio (F=1269)","R1_C_cis_TF_MR.R","2026-08-07"
"MVMR_transferrin (2-way)",10,"union transferrin+iron",-0.04365,0.009153,0.00141,"MVMR-IVW t-based, df=8 (MVMR pkg)","R1_E_MVMR_extended.R","2026-08-07"
"MVMR_serum_iron (2-way)",10,"union transferrin+iron",-0.005685,0.02177,0.8006,"MVMR-IVW t-based, df=8 (MVMR pkg)","R1_E_MVMR_extended.R","2026-08-07"
"MVMR_Egger_transferrin_slope",10,"union transferrin+iron",-0.05624,0.01493,0.0001653,"MVMR-Egger","R1_H_polish.R","2026-08-07"
